fra;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
FR;2021-09-05;21318;48384;4727;49554835;45575441;122774;73.8;67.9;0.2
FR;2021-09-06;75146;191393;34151;49629981;45766834;156925;73.9;68.2;0.2
FR;2021-09-07;79456;191657;36033;49709437;45958491;192958;74.1;68.5;0.3
FR;2021-09-08;88725;217058;32316;49798162;46175549;225274;74.2;68.8;0.3
FR;2021-09-09;75777;174603;36391;49873939;46350152;261665;74.3;69.1;0.4
FR;2021-09-10;95049;215342;40379;49968988;46565494;302044;74.5;69.4;0.5
FR;2021-09-11;66290;178402;14198;50035278;46743896;316242;74.6;69.6;0.5
FR;2021-09-12;12733;34200;3148;50048011;46778096;319390;74.6;69.7;0.5
FR;2021-09-13;64297;134966;43807;50112308;46913062;363197;74.7;69.9;0.5
FR;2021-09-14;73204;136642;61716;50185512;47049704;424913;74.8;70.1;0.6
FR;2021-09-15;76253;174855;54695;50261765;47224559;479608;74.9;70.4;0.7
FR;2021-09-16;63626;117980;59928;50325391;47342539;539536;75.0;70.5;0.8
FR;2021-09-17;74861;159839;57152;50400252;47502378;596688;75.1;70.8;0.9
FR;2021-09-18;48135;144305;17270;50448387;47646683;613958;75.2;71.0;0.9
FR;2021-09-19;7841;24932;2619;50456228;47671615;616577;75.2;71.0;0.9
FR;2021-09-20;44371;96458;50161;50500599;47768073;666738;75.2;71.2;1.0
FR;2021-09-21;45735;98557;63234;50546334;47866630;729972;75.3;71.3;1.1
FR;2021-09-22;48504;144766;55232;50594838;48011396;785204;75.4;71.5;1.2
FR;2021-09-23;43069;91204;63299;50637907;48102600;848503;75.4;71.7;1.3
FR;2021-09-24;52098;132250;59010;50690005;48234850;907513;75.5;71.9;1.4
FR;2021-09-25;35132;118481;18230;50725137;48353331;925743;75.6;72.0;1.4
FR;2021-09-26;5511;18693;2343;50730648;48372024;928086;75.6;72.1;1.4
FR;2021-09-27;33882;78903;48085;50764530;48450927;976171;75.6;72.2;1.5
FR;2021-09-28;36403;74447;56346;50800933;48525374;1032517;75.7;72.3;1.5
FR;2021-09-29;44275;103015;54736;50845208;48628389;1087253;75.8;72.5;1.6
FR;2021-09-30;36144;71071;59368;50881352;48699460;1146621;75.8;72.6;1.7
FR;2021-10-01;61053;99403;63630;50942405;48798863;1210251;75.9;72.7;1.8
FR;2021-10-02;39296;81615;23289;50981701;48880478;1233540;76.0;72.8;1.8
FR;2021-10-03;5236;11322;2558;50986937;48891800;1236098;76.0;72.8;1.8
FR;2021-10-04;34719;59545;54748;51021656;48951345;1290846;76.0;72.9;1.9
FR;2021-10-05;33166;62194;64836;51054822;49013539;1355682;76.1;73.0;2.0
FR;2021-10-06;42155;80124;68128;51096977;49093663;1423810;76.1;73.1;2.1
FR;2021-10-07;30247;59358;68612;51127224;49153021;1492422;76.2;73.2;2.2
FR;2021-10-08;48410;89833;84529;51175634;49242854;1576951;76.3;73.4;2.3
FR;2021-10-09;33507;64072;33835;51209141;49306926;1610786;76.3;73.5;2.4
FR;2021-10-10;4550;7867;3474;51213691;49314793;1614260;76.3;73.5;2.4
FR;2021-10-11;30400;50644;63992;51244091;49365437;1678252;76.4;73.6;2.5
FR;2021-10-12;31159;51436;75747;51275250;49416873;1753999;76.4;73.6;2.6
FR;2021-10-13;39842;62763;79201;51315092;49479636;1833200;76.5;73.7;2.7
FR;2021-10-14;30148;49695;73672;51345240;49529331;1906872;76.5;73.8;2.8
FR;2021-10-15;44599;70288;102860;51389839;49599619;2009732;76.6;73.9;3.0
FR;2021-10-16;31183;46716;39588;51421022;49646335;2049320;76.6;74.0;3.1
FR;2021-10-17;3808;5671;3689;51424830;49652006;2053009;76.6;74.0;3.1
FR;2021-10-18;27237;42285;71310;51452067;49694291;2124319;76.7;74.0;3.2
FR;2021-10-19;26861;40788;81577;51478928;49735079;2205896;76.7;74.1;3.3
FR;2021-10-20;35105;51755;101379;51514033;49786834;2307275;76.8;74.2;3.4
FR;2021-10-21;25760;41956;89059;51539793;49828790;2396334;76.8;74.2;3.6
FR;2021-10-22;38135;59132;112408;51577928;49887922;2508742;76.9;74.3;3.7
FR;2021-10-23;26892;42399;48580;51604820;49930321;2557322;76.9;74.4;3.8
FR;2021-10-24;2902;4996;3939;51607722;49935317;2561261;76.9;74.4;3.8
FR;2021-10-25;25932;35574;86565;51633654;49970891;2647826;76.9;74.5;3.9
FR;2021-10-26;23627;32215;92245;51657281;50003106;2740071;77.0;74.5;4.1
FR;2021-10-27;29954;44195;114572;51687235;50047301;2854643;77.0;74.6;4.3
FR;2021-10-28;23277;31133;94310;51710512;50078434;2948953;77.0;74.6;4.4
FR;2021-10-29;31448;46207;125176;51741960;50124641;3074129;77.1;74.7;4.6
FR;2021-10-30;20388;32793;53337;51762348;50157434;3127466;77.1;74.7;4.7
FR;2021-10-31;2470;3898;3870;51764818;50161332;3131336;77.1;74.7;4.7
FR;2021-11-01;7964;4877;3544;51772782;50166209;3134880;77.1;74.7;4.7
FR;2021-11-02;24988;36271;99408;51797770;50202480;3234288;77.2;74.8;4.8
FR;2021-11-03;29511;43450;125710;51827281;50245930;3359998;77.2;74.9;5.0
FR;2021-11-04;23541;31574;114271;51850822;50277504;3474269;77.3;74.9;5.2
FR;2021-11-05;32140;44544;151177;51882962;50322048;3625446;77.3;75.0;5.4
FR;2021-11-06;21375;32418;68179;51904337;50354466;3693625;77.3;75.0;5.5
FR;2021-11-07;2360;4071;5588;51906697;50358537;3699213;77.3;75.0;5.5
FR;2021-11-08;20146;31069;134101;51926843;50389606;3833314;77.4;75.1;5.7
FR;2021-11-09;21988;33098;172035;51948831;50422704;4005349;77.4;75.1;6.0
FR;2021-11-10;31162;43989;198564;51979993;50466693;4203913;77.4;75.2;6.3
FR;2021-11-11;3934;5536;13887;51983927;50472229;4217800;77.5;75.2;6.3
FR;2021-11-12;28904;41874;197197;52012831;50514103;4414997;77.5;75.3;6.6
FR;2021-11-13;20215;28310;86261;52033046;50542413;4501258;77.5;75.3;6.7
FR;2021-11-14;2301;3439;7879;52035347;50545852;4509137;77.5;75.3;6.7
FR;2021-11-15;20160;28067;171377;52055507;50573919;4680514;77.6;75.4;7.0
FR;2021-11-16;23155;27948;214758;52078662;50601867;4895272;77.6;75.4;7.3
FR;2021-11-17;30202;36668;212731;52108864;50638535;5108003;77.6;75.5;7.6
FR;2021-11-18;23211;27759;205327;52132075;50666294;5313330;77.7;75.5;7.9
FR;2021-11-19;33488;40045;261975;52165563;50706339;5575305;77.7;75.6;8.3
FR;2021-11-20;25240;29308;109624;52190803;50735647;5684929;77.8;75.6;8.5
FR;2021-11-21;2613;3492;10656;52193416;50739139;5695585;77.8;75.6;8.5
FR;2021-11-22;22671;19082;194694;52216087;50758221;5890279;77.8;75.6;8.8
FR;2021-11-23;25421;24348;247582;52241508;50782569;6137861;77.8;75.7;9.1
FR;2021-11-24;31679;34710;243061;52273187;50817279;6380922;77.9;75.7;9.5
FR;2021-11-25;25294;25014;277521;52298481;50842293;6658443;77.9;75.8;9.9
FR;2021-11-26;33077;37479;414470;52331558;50879772;7072913;78.0;75.8;10.5
FR;2021-11-27;23179;28465;236521;52354737;50908237;7309434;78.0;75.9;10.9
FR;2021-11-28;3471;4117;63341;52358208;50912354;7372775;78.0;75.9;11.0
FR;2021-11-29;19303;23400;371464;52377511;50935754;7744239;78.0;75.9;11.5
FR;2021-11-30;24428;27050;500572;52401939;50962804;8244811;78.1;75.9;12.3
FR;2021-12-01;26111;31690;511082;52428050;50994494;8755893;78.1;76.0;13.0
FR;2021-12-02;21803;21234;574617;52449853;51015728;9330510;78.1;76.0;13.9
FR;2021-12-03;25340;34028;650859;52475193;51049756;9981369;78.2;76.1;14.9
FR;2021-12-04;18252;25829;369626;52493445;51075585;10350995;78.2;76.1;15.4
FR;2021-12-05;4137;4955;107062;52497582;51080540;10458057;78.2;76.1;15.6
FR;2021-12-06;19337;25641;539755;52516919;51106181;10997812;78.2;76.1;16.4
FR;2021-12-07;23215;29098;706013;52540134;51135279;11703825;78.3;76.2;17.4
FR;2021-12-08;25225;35085;647264;52565359;51170364;12351089;78.3;76.2;18.4
FR;2021-12-09;23897;29310;726069;52589256;51199674;13077158;78.4;76.3;19.5
FR;2021-12-10;27110;38188;805873;52616366;51237862;13883031;78.4;76.3;20.7
FR;2021-12-11;20198;29832;480276;52636564;51267694;14363307;78.4;76.4;21.4
FR;2021-12-12;5609;6393;159212;52642173;51274087;14522519;78.4;76.4;21.6
FR;2021-12-13;20985;30018;649102;52663158;51304105;15171621;78.5;76.4;22.6
FR;2021-12-14;27063;35634;847271;52690221;51339739;16018892;78.5;76.5;23.9
FR;2021-12-15;28044;39593;768790;52718265;51379332;16787682;78.5;76.6;25.0
FR;2021-12-16;27822;35425;844205;52746087;51414757;17631887;78.6;76.6;26.3
FR;2021-12-17;31417;43654;891859;52777504;51458411;18523746;78.6;76.7;27.6
FR;2021-12-18;24897;30113;522128;52802401;51488524;19045874;78.7;76.7;28.4
FR;2021-12-19;8739;7974;191179;52811140;51496498;19237053;78.7;76.7;28.7
FR;2021-12-20;31536;34063;658541;52842676;51530561;19895594;78.7;76.8;29.6
FR;2021-12-21;39154;38968;759372;52881830;51569529;20654966;78.8;76.8;30.8
FR;2021-12-22;39409;37199;641971;52921239;51606728;21296937;78.9;76.9;31.7
FR;2021-12-23;33662;30203;494269;52954901;51636931;21791206;78.9;76.9;32.5
FR;2021-12-24;10613;11568;126640;52965514;51648499;21917846;78.9;77.0;32.7
FR;2021-12-25;762;1920;9042;52966276;51650419;21926888;78.9;77.0;32.7
FR;2021-12-26;4695;4733;60132;52970971;51655152;21987020;78.9;77.0;32.8
FR;2021-12-27;30243;32809;509013;53001214;51687961;22496033;79.0;77.0;33.5
FR;2021-12-28;38252;35068;632096;53039466;51723029;23128129;79.0;77.1;34.5
FR;2021-12-29;39798;33072;560887;53079264;51756101;23689016;79.1;77.1;35.3
FR;2021-12-30;35830;29099;471052;53115094;51785200;24160068;79.1;77.2;36.0
FR;2021-12-31;11830;11232;131593;53126924;51796432;24291661;79.2;77.2;36.2
FR;2022-01-01;1191;1763;9918;53128115;51798195;24301579;79.2;77.2;36.2
FR;2022-01-02;6063;5070;66928;53134178;51803265;24368507;79.2;77.2;36.3
FR;2022-01-03;31628;34956;551270;53165806;51838221;24919777;79.2;77.2;37.1
FR;2022-01-04;40524;40127;714115;53206330;51878348;25633892;79.3;77.3;38.2
FR;2022-01-05;59570;42967;633945;53265900;51921315;26267837;79.4;77.4;39.1
FR;2022-01-06;43793;39788;711222;53309693;51961103;26979059;79.4;77.4;40.2
FR;2022-01-07;50410;46201;790195;53360103;52007304;27769254;79.5;77.5;41.4
FR;2022-01-08;44901;34940;472808;53405004;52042244;28242062;79.6;77.5;42.1
FR;2022-01-09;15590;11502;145714;53420594;52053746;28387776;79.6;77.6;42.3
FR;2022-01-10;34803;36410;521980;53455397;52090156;28909756;79.6;77.6;43.1
FR;2022-01-11;41501;41546;608296;53496898;52131702;29518052;79.7;77.7;44.0
FR;2022-01-12;59977;48769;504157;53556875;52180471;30022209;79.8;77.7;44.7
FR;2022-01-13;37758;39976;540843;53594633;52220447;30563052;79.9;77.8;45.5
FR;2022-01-14;42291;43207;628863;53636924;52263654;31191915;79.9;77.9;46.5
FR;2022-01-15;39281;31220;377505;53676205;52294874;31569420;80.0;77.9;47.0
FR;2022-01-16;11380;9011;99441;53687585;52303885;31668861;80.0;77.9;47.2
FR;2022-01-17;24546;27887;354100;53712131;52331772;32022961;80.0;78.0;47.7
FR;2022-01-18;28049;31488;397453;53740180;52363260;32420414;80.1;78.0;48.3
FR;2022-01-19;42955;40096;310978;53783135;52403356;32731392;80.1;78.1;48.8
FR;2022-01-20;23330;29143;328315;53806465;52432499;33059707;80.2;78.1;49.3
FR;2022-01-21;27898;32890;401068;53834363;52465389;33460775;80.2;78.2;49.9
FR;2022-01-22;27602;27030;241714;53861965;52492419;33702489;80.3;78.2;50.2
FR;2022-01-23;6695;7511;55186;53868660;52499930;33757675;80.3;78.2;50.3
FR;2022-01-24;16153;24924;239278;53884813;52524854;33996953;80.3;78.3;50.7
FR;2022-01-25;18876;28346;266994;53903689;52553200;34263947;80.3;78.3;51.1
FR;2022-01-26;28062;40261;229265;53931751;52593461;34493212;80.4;78.4;51.4
FR;2022-01-27;16244;25312;225715;53947995;52618773;34718927;80.4;78.4;51.7
FR;2022-01-28;21422;41778;321440;53969417;52660551;35040367;80.4;78.5;52.2
FR;2022-01-29;18383;32664;204556;53987800;52693215;35244923;80.4;78.5;52.5
FR;2022-01-30;4462;9171;45093;53992262;52702386;35290016;80.4;78.5;52.6
FR;2022-01-31;11197;25918;164773;54003459;52728304;35454789;80.5;78.6;52.8
FR;2022-02-01;12598;26736;191268;54016057;52755040;35646057;80.5;78.6;53.1
FR;2022-02-02;19669;45347;190042;54035726;52800387;35836099;80.5;78.7;53.4
FR;2022-02-03;10866;24209;173227;54046592;52824596;36009326;80.5;78.7;53.7
FR;2022-02-04;14431;35707;264111;54061023;52860303;36273437;80.5;78.8;54.0
FR;2022-02-05;12583;31933;172316;54073606;52892236;36445753;80.6;78.8;54.3
FR;2022-02-06;2702;7334;33820;54076308;52899570;36479573;80.6;78.8;54.4
FR;2022-02-07;9204;24293;176278;54085512;52923863;36655851;80.6;78.9;54.6
FR;2022-02-08;9509;20351;184276;54095021;52944214;36840127;80.6;78.9;54.9
FR;2022-02-09;14079;34639;192884;54109100;52978853;37033011;80.6;78.9;55.2
FR;2022-02-10;8197;17485;166464;54117297;52996338;37199475;80.6;79.0;55.4
FR;2022-02-11;10720;25442;242912;54128017;53021780;37442387;80.6;79.0;55.8
FR;2022-02-12;8315;22518;151669;54136332;53044298;37594056;80.7;79.0;56.0
FR;2022-02-13;1880;4371;30883;54138212;53048669;37624939;80.7;79.0;56.1
FR;2022-02-14;6853;14430;166240;54145065;53063099;37791179;80.7;79.1;56.3
FR;2022-02-15;6812;15106;162318;54151877;53078205;37953497;80.7;79.1;56.5
FR;2022-02-16;9250;25363;146548;54161127;53103568;38100045;80.7;79.1;56.8
FR;2022-02-17;5325;12297;94685;54166452;53115865;38194730;80.7;79.1;56.9
FR;2022-02-18;6835;18263;129161;54173287;53134128;38323891;80.7;79.2;57.1
FR;2022-02-19;5319;15771;77277;54178606;53149899;38401168;80.7;79.2;57.2
FR;2022-02-20;1130;2865;13905;54179736;53152764;38415073;80.7;79.2;57.2
FR;2022-02-21;3978;9990;67087;54183714;53162754;38482160;80.7;79.2;57.3
FR;2022-02-22;4321;11033;64356;54188035;53173787;38546516;80.7;79.2;57.4
FR;2022-02-23;6490;19240;71765;54194525;53193027;38618281;80.7;79.3;57.5
FR;2022-02-24;3709;8900;53110;54198234;53201927;38671391;80.8;79.3;57.6
FR;2022-02-25;5143;14355;79910;54203377;53216282;38751301;80.8;79.3;57.7
FR;2022-02-26;3950;11844;51428;54207327;53228126;38802729;80.8;79.3;57.8
FR;2022-02-27;862;1948;8917;54208189;53230074;38811646;80.8;79.3;57.8
FR;2022-02-28;3041;7051;42811;54211230;53237125;38854457;80.8;79.3;57.9
FR;2022-03-01;2971;7063;44511;54214201;53244188;38898968;80.8;79.3;58.0
FR;2022-03-02;4996;12387;48828;54219197;53256575;38947796;80.8;79.4;58.0
FR;2022-03-03;2584;5585;29677;54221781;53262160;38977473;80.8;79.4;58.1
FR;2022-03-04;3136;8086;39248;54224917;53270246;39016721;80.8;79.4;58.1
FR;2022-03-05;2874;7030;25024;54227791;53277276;39041745;80.8;79.4;58.2
FR;2022-03-06;492;996;3410;54228283;53278272;39045155;80.8;79.4;58.2
FR;2022-03-07;1877;3627;17574;54230160;53281899;39062729;80.8;79.4;58.2
FR;2022-03-08;1908;4056;17734;54232068;53285955;39080463;80.8;79.4;58.2
FR;2022-03-09;3402;8353;21026;54235470;53294308;39101489;80.8;79.4;58.3
FR;2022-03-10;1646;3464;15282;54237116;53297772;39116771;80.8;79.4;58.3
FR;2022-03-11;2305;5081;22066;54239421;53302853;39138837;80.8;79.4;58.3
FR;2022-03-12;2619;5398;16413;54242040;53308251;39155250;80.8;79.4;58.3
FR;2022-03-13;380;578;2167;54242420;53308829;39157417;80.8;79.4;58.3
FR;2022-03-14;1420;2579;13610;54243840;53311408;39171027;80.8;79.4;58.4
FR;2022-03-15;1543;2896;13951;54245383;53314304;39184978;80.8;79.4;58.4
FR;2022-03-16;2886;5711;17253;54248269;53320015;39202231;80.8;79.4;58.4
FR;2022-03-17;1334;2373;11312;54249603;53322388;39213543;80.8;79.4;58.4
FR;2022-03-18;2136;3738;17723;54251739;53326126;39231266;80.8;79.5;58.5
FR;2022-03-19;2241;3939;12325;54253980;53330065;39243591;80.8;79.5;58.5
FR;2022-03-20;279;476;1802;54254259;53330541;39245393;80.8;79.5;58.5
FR;2022-03-21;1306;1982;11048;54255565;53332523;39256441;80.8;79.5;58.5
FR;2022-03-22;1402;2305;11930;54256967;53334828;39268371;80.8;79.5;58.5
FR;2022-03-23;2561;4807;14578;54259528;53339635;39282949;80.8;79.5;58.5
FR;2022-03-24;1277;1864;9898;54260805;53341499;39292847;80.8;79.5;58.5
FR;2022-03-25;1974;3188;16251;54262779;53344687;39309098;80.9;79.5;58.6
FR;2022-03-26;2189;3616;11244;54264968;53348303;39320342;80.9;79.5;58.6
FR;2022-03-27;345;482;1879;54265313;53348785;39322221;80.9;79.5;58.6
FR;2022-03-28;1370;1858;10002;54266683;53350643;39332223;80.9;79.5;58.6
FR;2022-03-29;1385;1912;11455;54268068;53352555;39343678;80.9;79.5;58.6
FR;2022-03-30;2743;4411;14083;54270811;53356966;39357761;80.9;79.5;58.6
FR;2022-03-31;1542;1975;11337;54272353;53358941;39369098;80.9;79.5;58.7
FR;2022-04-01;1927;2314;14652;54274280;53361255;39383750;80.9;79.5;58.7
FR;2022-04-02;1384;1859;8129;54275664;53363114;39391879;80.9;79.5;58.7
FR;2022-04-03;239;307;1481;54275903;53363421;39393360;80.9;79.5;58.7
FR;2022-04-04;1196;1342;8795;54277099;53364763;39402155;80.9;79.5;58.7
FR;2022-04-05;1442;1534;11248;54278541;53366297;39413403;80.9;79.5;58.7
